	labels	titles
156	0	7번째 1위도전은 내려놔야할 것 같습니다 ㅠㅜ
157	0	감독싸움에서 상대가 안됨
158	0	라인업 좀 잘 짜라
159	0	6회는  못살리고 
160	0	손혁 저 시발 맨날 수비위치 바꾸니 애들 상태 맛탱이 갔네 김지수는 쫌 짤라라
161	0	질래야 질 수 없는 게임 결국 이지랄 나는구나
162	0	너무 기대가 껐던거 같네요
163	0	쥐들의 센스가 장난아니네
164	0	손혁아!! 오늘 이런 결과를 바라고 선발오더 작성했니??
165	0	허정협은
166	0	진루타를 못치는 타자들
167	0	손감독이 아는 작전은  번트 뿐이지,,
168	0	이대로 추가 실점하고 끝일듯
169	0	오늘 진다면 결정적 패인
170	0	그만 봐야겠어요
171	0	서건창은
172	0	손핵 하는짓 보세요
173	0	보다보다 이런 감독도 처음봄ㅋ
174	0	이기고 싶은 간절함이 1도 없는 무뇌 감독
175	0	허정협 타석에서도
176	0	준태야
177	0	손혁이 어딜봐서 감독깜이냐
178	0	허정협은 
179	0	허슬플레이 바랬으면 욕심인가요
180	0	손혁 면상 카메라에 잡힐때마다 
181	0	쥐들은 2사에서도 점수를 내는데
182	0	바꾸자 마자 바로 역전
183	0	감독좀 바꿔라
184	0	참치나 혜성이 타석때 이지영 썻으면
185	0	손핵 저것도 쓰는 선수만 쓰네
186	0	대타가  하나도  
187	0	오늘 경기는 딱보니 지겠네
188	0	오늘 정의구현 갑시다!!
189	0	그냥 이지영 방출시켜라
190	0	이지영 선수 보고 싶네~~~
191	0	감독이라는게 대타같은건 모르나 
192	0	박동원 이놈은 타석에서 표정부터 꼴보기 싫음
193	0	손혁이 도데체 뭘 하는거냐? 왜 김혜성 끝까지 가는거냐?
194	0	이렇게 경기를 계속 말아먹어도 계속 출전 기회를 주니까
195	0	허정협,박동원,김혜성ㅋㅋㅋ대타안쓰냐감독은?
196	0	박동원 때 대타 써야지
197	0	그 좋은 기회를....ㅠㅠ
198	0	노아웃, 주자 2, 3루에서  세  선수(협, 동, 혜)가  말아먹네요 
199	0	야구선수 맞냐? 허정협, 박동원
200	0	아쉬운 공격이였네요...
201	0	와 무득
202	0	박동원 암적인 존재네
203	0	무사 23루를 2사 12루로..
204	0	반갑네요..이정후 선수 2루타..^^
205	0	5회에 앞타석 홈런친 선수에게 보내기번트라
206	0	진짜 타격 허접하네
207	0	질문하나만하겠습니다
208	0	오늘 추평호 날 잡았네요. 
209	0	주심 대놓고 장난질이네
210	0	박동원.. 어제 사과했잖아.
211	0	와 러셀 적시타 너무 아깝네요
212	0	우와~~ 박준태 선수 홈런!! ^^
213	0	손혁아!오늘 김혜성 교체좀 해줘라. 
214	0	이걸박동원을욕하는사람은 야구를모르나 ?ㅋㅋ
215	0	헛심쓰지말자
216	0	박동원 송구좀 똑바로해라
217	0	승부를 못하잔아?
218	0	한돈 볼질 시작이냐
219	0	혜성아 집중해라!!!
220	0	박동원이 왜 주전포수입니까?
221	0	오는 경기 얼마나 중요한가!!!
222	0	투구수
223	0	4번타자...
224	0	삽질 스윙 
225	0	박동원 도망가는 피칭 리드
226	0	타격코치가 러셀 타격폼 잡아줘야 됩니다.
227	0	오늘 선발이 ace  Casey Kelly 이므로 어려운 승부 예상됩니다.
228	0	이정후 3할3푼도 무너지겠네
229	0	초구 뜬공
230	0	또 시작이구나!!! 현실은......
231	0	김성민 투구폼
232	0	손혁 장난하니?? 컨디션 좋은 선수 귀신같이 빼네...ㅜㅜ
233	0	이지영
234	0	프런트,분석원들이 일을 하는지 않하는지 LG전 시험대가 될 듯......
235	0	왜?
236	0	앞으로 재미지는 4경기네요. ㅋ 엘지, 두산...^^ 결과는???
237	0	오늘 경기.. 승부 예상..
238	0	아니 왜 지영언니 안써요
239	0	박준태 선수
240	0	전병우 선수
241	0	9월9일 경기 연봉정산
242	0	쥐를 잡자 쥐를 잡자!!
243	0	이영준선수
244	0	LG 두산.. 3승 1패 이상..
245	0	KT2연패, SK2연승, 이제 LG 두산 갑시다~~
246	0	키움 히어로즈  고공행진 합시다...^^
247	0	포기하면 다시 일어서는 영웅들
248	0	어제도 오늘도 이겼네요.^^
249	1	데스파이네 진짜 부럽네요
250	1	조영건선수 좋네요
251	1	오늘 조영건선수 잘했습니다!!
252	1	김하성 선수
253	1	기분좋은 연승. 어제 오늘은 승수 이상의 팀에 힐링을 불어넣는 승리.
254	1	박준태 선수
255	1	송우현 아직도 무안타!!
256	1	선발전원  볼넷
257	1	키움고 & 애쓰고: 명불허전 2 후기
258	1	 김하성선수 오늘 속상해말아요ㅠㅠㅠ
259	1	NC가 롯데에 역전했네요..
260	1	전병우 선수가 감독님을 즐겁게^^
261	1	김태훈 선수 불펜 혹사->부상->대체선발->불펜 루트입니다
262	1	손혁 OUT
263	1	볼배합 그지같네
264	1	김태훈 선수는 그저그런 투수가 되네요
265	1	정후야....괜찮다 마음만 다치지 말아....팬들은 널 믿는다
266	1	왜 코치진들 이정후선수 가만히 놔두나요?
267	1	새로운 확진자가 일 주일 내내 100명대?
268	1	진짜 잘했습니다 조영건선수
269	1	손혁 투수 교체 타이밍 빨리해라 빅이닝 된다
270	1	엔씨 지고 있네요..ㅋㅋ
271	1	그나마 모처럼 야구 볼 맛나는 경기네요
272	1	이제좀 편하게 봐도 되겠죠..? ^^
273	1	조영건 멋지다!!
274	1	조영건 인생투 가즈아 ~ 
275	1	아니 경기 지더라도 박동원 살리려고 계속 기용하는건가?
276	1	계속 빗맞는 플라이
277	1	 타격 진짜 메롱이네
278	1	누가누가 못하나
279	1	정상봉 전력분석원님 놀지마시고 박동원 주자 1루 시 병살타 확률 분석하세요!!!
280	1	박동원좀 빼라 ... 왜 이지영이 모가 모잘라서 자꾸 박동원이냐 ?
281	1	박동원ㅋㅋㅋ
282	1	전력질주 좀 합시다..ㅠㅠ
283	1	박동원 진심 꼴보기 싫다
284	1	박동원 역시 믿음직해
285	1	키움 덕수상고 : SK 신일고 고교야구...
286	1	조영건 왜 자꾸 쳐올리냐 ㅡㅡ
287	1	타격은 여전하네
288	1	백승건선수  안쓰럽네요..
289	1	심하다..
290	1	심하다..
291	1	오늘은 롯데. 기아,격하게 응원합니다^^
292	1	공좀 많이 봐라 러셀아
293	1	어제와 같은 드라마틱한 경기는 싫다.. 그냥 편안히 보고싶다...^^
294	1	오늘 라인업..
295	1	시즌 막바지 전망
296	1	히어로즈 실책 1위의 비밀은??? 
297	1	선수들 근황을 알려주세요
298	1	포수의  덕목
299	1	어제의 흐름을 이어서 오늘경기 반드시 승리해야 함
300	1	5강 못들고 7위 유산으로 뽑은  윤정현 ㅋㅋㅋㅋㅋㅋㅋㅋ
301	1	포지션고정
302	1	우리 선수들 힘냅시다!!
303	1	어제 경기는 반드시 복기해야 합니다 
304	1	어제 경기
305	1	포수란?
306	1	러셀은 왜 자꾸 하루가 멀다 하고 포지션을 바꾸는 건가요
307	1	내야수가 손혁이 감독연습 대상인가?
308	1	애쓰고 & 키움고 명불허전
309	1	9월8일 경기 연봉정산(SK가 져준것 같은 느낌)
310	1	제발요. . .
311	1	2루 김혜성, 3루 김하성, 유격수 러셀 고정 좀 시키길!!
312	1	프로를 빙자한 사회인 야구
313	1	두산이랑은 아직 10경기나 남았네요
314	1	조영건    Vs    백승건...
315	1	박동원은  8번에서 잘 하네요
316	1	실책, 당연하다고 봅니다
317	1	타자들 칭찬합니다
318	1	기세를 몰아서
319	1	수비를 고정좀..
320	1	수비 훈련좀 제발 ㅠㅠㅠ
321	1	감독님 내일 당신의 수비 포메이션 공개하겠습니다.. 미리..
322	1	다들 고생했지만 SK가 더 못해서 이긴 경기네요.
323	1	이기긴 했지만 손혁의 한계를 드러낸 경기.... 
324	1	분위기 반전!!
325	1	저도 손혁 싫어하지만 어떻게 이팀이 손혁만 문제입니까
326	1	이정후 선수 스윙 폼
327	1	 SK전 10차전 난타전끝에 16 대 15로 승리 . 
328	1	1승 이상의 경기.. 앞으로 좋은 흐름을 탈거 같네요
329	1	오늘 졌다면 연패 늪이 길어질뻔 ㄷㄷ
330	1	전 이닝 실점 대기록 막았네요ㅜ
331	1	잊혀진 준태선수 투런포 축하합니다
332	1	오늘 이런 경기를 계기로 다시 치고 올라가길 기대합니다~~~
333	1	졸전 중에 최고의 졸전이었지만..
334	1	감독은 오늘도 포기했는데..
335	1	정말 대단하다 손혁이 개 말아먹은경기 타자들이 멱살잡이하네 ...ㅋㅋ 역대급 멱살잡이네 
336	1	그냥 평범한 외인 러셀
337	1	최근의 납득 안되는 경기
338	1	어쨌든 승리!
339	1	키움고 결승진출 !! 기다려라 덕수상고 
340	1	조상우 어느정도 회복된걸로 보이세요?
341	1	손혁때문에 공황장애 왔습니다.
342	1	돌림판
343	1	손혁 운빨 작동하나요
344	1	샌즈는 대체. 왜. 뭐때문에 보낸건가요?
345	1	시작이네요.
346	1	선발 전원 안타
347	1	타격폼이 완전히 무너진 러셀
348	1	러셀은 
349	1	러셀 진짜
350	1	난타전이네요
351	1	러셀ㅋ
352	1	혹시나.. .조상우 아끼나?
353	1	뭔 경기가 이렇게 지저분한지... 아... KBO의 수준... 쩝;;;
354	1	숨을 쉴 수 없는 경기...
355	1	5타수 무안타
356	1	아아아아아아아 실책만 없었으면 쉬웠을 게임인데
357	1	키움고 이겨가네요 기다려라 덕수상고
358	1	이걸뒤집네 10대2게임을..
359	1	뒤집었다
360	1	하필...내가 인정하는 김혜성이
361	1	4타수 무안타 김혜성
362	1	다음 누구냐 혜성이  너가 오늘 히어로다 하나 하자 역전 
363	1	와.. 동점..ㅠㅠㅠㅠㅠㅠ
364	1	다음  역전 차례다 역전이다 !!역전이라했다 웅빈 2루타 가자
365	1	아까 어느분 예상이 맞았네요
366	1	여기 게시판 글쓰시는분들이ㅜ진정한팬이다
367	1	승패 떠나서 두 팀다  완전 개막장 졸전이네ㅋ
368	1	야 희망고문하지마라 다음 정후 투런 또는 2루타 가자
369	1	야 희망고문하지말고 역전해라.
370	1	서건창..
371	1	손혁 OUT
372	1	손혁 OUT
373	1	서건창에게  휴식을 주지  좀
374	1	써근창 타석 볼까요???
375	1	오늘은 10-9에서 갈렸다..ㅠ
376	1	자 동원참치 타석 한번 볼까요????
377	1	홈런5개 치고 지는팀이 있다?
378	1	매이닝 실점이면 크보 신기록 아닌가요??
379	1	4실책 오져요
380	1	실책 1위는 손혁 잘못이냐, 김지수 잘못이냐?
381	1	개색이 퐁당퐁당 수비하네 저거
382	1	이래서 무경험 초임 감독은 쓰는게 아닙니다
383	1	와 간만에 글쓰게하네
384	1	진짜부탁이다
385	1	쓸데없이 아끼는 감독
386	1	도대체 송구 실책이 몇 개냐
387	1	감독부터 선수 모두
388	1	이팀 특) 이러고 내일 투수진 분발해서 2-4정도로 짐 
389	1	그래서 고정 포지션이 중요한거다 돌혁아.
390	1	7위가 현실으로
391	1	ㅋㅋㅋㅋ 이거 매이닝 득점하면 최초인가
392	1	손혁사퇴 광화문 집회 해야하는거 아님?
393	1	그냥 가을에 쉬어
394	1	집중력 1도 없네  가을에 놀구싶다 이거지
395	1	야호~~/ 실책 굳건한 1위
396	1	저게 투수코치 출신이라니
397	1	오늘 경기 지는 경기고 그냥 잠시 희망고문 한거임요 ㅋㅋㅋㅋ
398	1	와ㅋㅋㅋ이제 가지가지 한다
399	1	투수 13명 내야지
400	1	경기흐름을그렇게도 못읽냐?
401	1	웃을일이 아닙니다~
402	1	이게 야구인가요
403	1	시간이 아깝네요 이런 졸전보면서
404	1	ㅋㅋㅋ쓰레기 손혁아 안쪽팔리냐?
405	1	애들한테 뭐라하지마라
406	1	내일도 질수 밖에 없습니다
407	1	역대급 화끈한 경기
408	1	와 완전
409	1	금방 식어버리는 방망이ㅋ
410	1	머리가 어지러울껄 ㅋㅋ
411	1	^^ 서건창을 rotten window라고 칭한 게 그리 큰 죄일까요?
412	1	선수기용 포지션변화 어차피 다 돌혁머리에서 나오는거아님,?
413	1	손혁은 사퇴해라
414	1	박동원-흥분
415	1	선수 쓰는걸 아까워 하니
416	1	허민, 손혁 퇴출 릴레이)제발 꺼져주세요
417	1	건창아 제발 밀어쳐라
418	1	박동원은 이제 허민, 손혁 처럼 3류다
419	1	팬분들....오늘 경기는 비밀로 합시다
420	1	투수출신 감독 어쩌구하더니 정작 쓸만한 투수 없는거 실화?
421	1	점수주면 바꾸지. 
422	1	점수주면 바꾸지. 
423	1	꼭 김선기여야만 했는지..ㅠㅠ
424	1	야 이 시팔 투수 좀 바꿔라. 2군 패전조 그만 쳐올리고.
425	1	동네야구의 정석... ㅋㅋㅋㅋㅋ
426	1	야구는 이렇게 하면 안된다 라고 보여주는 경기
427	1	조텩은 추격이 필요한 상황에서
428	1	중학교 야구 보는거 같네
429	1	누가 대본써주나
430	1	박동원 방출
431	1	자 6회에도 점수 줘서 매이닝 실점 기록 이어갑시다
432	1	이래서 돌혁 인거야 야이 멍청한 새끼야
433	1	오늘은 투수들 때문에 글렀다
434	1	타격전 갈려고 김선기 올렸구나? ㅋㅋ
435	1	서건창 저 정도면 진짜 심한거 아닌가
436	1	서건창이는 내년에 남기 힘들것다 김민성도 2할9푼에 쫒겨 났는데
437	1	서건창은 인제 빼라  
438	1	서건창이
439	1	조공 바칩니다~염감독님
440	1	종신 손혁
441	1	박동원은 선수 연구를 안하지
442	1	5위를 향해..
443	1	승패를 떠나서 화끈한 타격전이네 ㅋㅋ
444	1	그 장난감 좀 치웁시다
445	1	손혁 멋진 사람~
446	1	매회 실점하네요
447	1	분석원들 분석 잘하고 계시나요.
448	1	승패를 떠나 양팀 투수들 1군 투수들이라고 하긴 좀 챙피하네요~~
449	1	양현 앞에 주자는 득점이네 
450	1	투수들 진짜 다 등신들이네
451	1	내가사과하께...주효상이라도 내보내죠...
452	1	잠깐이나마 행복했다.
453	1	병살 계속 안잡는거 봐라ㅋㅋㅋㅋㅋㅋ
454	1	13대 12
455	1	투수보다 포수바꿔라
456	1	뭔일 났나요?
457	1	임규빈 1안타 주고 교체??
458	1	이런데도 필승조를 안낸다??
459	1	머선일있었음???
460	1	게임  참 묘하네......
461	1	지금이라도
462	1	야구 참 못한다..이랬는데
463	1	약속있는사람?
464	1	누가 누가 못하나 경쟁하는거 같네요..
465	1	니가 그러니까 주작소리 듣는거야
466	1	손혁 니는 선수들이 장난감으로 보이냐?
467	1	이제 석점 밖에 차이안나니까 잘해 봅시다..^^
468	1	치킨집 가서 치킨 한마리 포장해오다가 우연히 야구 봤는데
469	1	젖뺑이치는중...
470	1	ㅋㅋ 서건창만 못치네
471	1	저분이 감독 맞나요?
472	1	건창아 너 1번이냐 제발 출루좀 하라고!!!
473	1	홈런 고마워요
474	1	준태가 홈런쳤네 그래봐야 추격만하다 발리는데 뭐 
475	1	이 정도로 엿같이 경기하면 사과문이라도 올라오는게
476	1	이지랄 하고도 총갖고 쳐서있네
477	1	와~~ 진짜 실망스럽네 
478	1	서건창 마스크로 주목받을라구
479	1	김하성이랑 손혁이랑 사이 안좋다더만
480	1	타격코치 경질하라
481	1	손혁  >  추미애
482	1	진짜 살다살다 이렇게 암걸리는 시즌은처음이다 
483	1	ㅋㅋㅋ
484	1	인터뷰 준비해라 돌혁아
485	1	인터뷰 준비해라 돌혁아
486	1	채널  돌립시다  암 걸리기전에
487	1	그래도 4회말인데ㅋ
488	1	손혁이 손댄 모든 선수들 추락
489	1	우리 오태곤이 돌와 왔구나
490	1	야구하기 싫은 선수들 하지 말라고 그러세요
491	1	하여튼 정신나간 손혁은 그냥 사퇴나 하자 지금이라도
492	1	장정석이 ㅈㄴ게 보고싶다..
493	1	저런놈을 투수라고 올리다니
494	1	눈 가리고 귀막고 구단 꼴 잘 돌아간다.
495	1	오늘은...
496	1	키움..투수의 문제만 있을까요..타자들이 더 심각한거 아닌가요???
497	1	끄세요
498	1	기를쓰고 응원하면 뭐해요..ㅠㅠ
499	1	한 이닝에 2점씩 줘라 그래그래
500	1	열흘 만에
501	1	이정도면 가을 야구 무조건 탈락이네요.
502	1	아 ㅅㅂ 오태식은 알아두 오태곤은...
503	1	리그 9,10위 최악의 팀들한테도 영혼까지 털리는데
504	1	작년 SK꼴 납니다~
505	1	져라져라
506	1	져라져라
507	1	막힌 혈~ 
508	1	어제 쉬면서 술마셨냐
509	1	미친 장난감총질로 주접쌀때 알아봤다
510	1	정신차려라 ! 서건창 김하성 이정후 러셀
511	1	오늘 이길 수 있을까요
512	1	이딴식으로 할거면 포시 포기하고 고양선수들로 잔여시즌 치뤄라
513	1	나한테도 메일 보내줘 키움아
514	1	포수가 젋은 투수를 리드못하니..그런 선수를 계속 고집하는 감독
515	1	안타 단 2개 ㅋㅋㅋ
516	1	대단하다 진짜..어떻게하면 핀토 공도 못치냐고..ㅠㅠ
517	1	사퇴해 이 개색이야
518	1	정말 답답하네요... 헛웃음만....
519	1	저거 이정후 들어온후부터 팀분위기 개판
520	1	김재웅은 포수 리드가 중요한데‥
521	1	9등팀한테도 털리는거보니 진짜답이없네..
522	1	선수들 왜 저럴까요??
523	1	타코랑 수코는 최소한 둘중 하나는 책임져라
524	1	도대체 몇 연패를 당하고 싶은거냐?? 돌혁아
525	1	19연패를 가야 막힌 혈관이 ~
526	1	외치고싶다 마포대교는 무너졋냐 이색햐
527	1	막힌 혈관을 뚫으려면
528	1	김재웅 선수는
529	1	이지영이 출근 안했냐
530	1	아무도 책임지지 않는구단
531	1	감독부터 저꼬라지니ㅋㅋ쳐지는게당연
532	1	오늘 5안타 칠듯
533	1	새우깡 동나겠어요 손혁씨  경기지고 새우깡에 맥주 드시드라~
534	1	애들이
535	1	하다하다 얘네한테도 지네 이제
536	1	아니 안타를..,
537	1	감독부터들 느그가 프로냐
538	1	끝난듯
539	1	푸하하 sk출신 감독아니랄까봐 아주 끝내줘요
540	1	잘한다
541	1	아무 대책이 없는 감독
542	1	남들 다 잡는 승리자판기 한화 스크 상대로 잘한다  차라리 8위가서 드래프트나 잘뽑자
543	1	그냥 팀 해체해라
544	1	투수 바꿔라 ㅋ
545	1	올시즌 .. .정말 선발들..
546	1	키움아.나한테 이메일 보내지마라
547	1	진지하게 김지수 강병식 이 둘은 2군 보내세요
548	1	당신 진짜 너무 심한거 아닙니까?
549	1	허수아비 1.2.3번
550	1	허민 처럼 게임하나 만들고 대박친 애를 머리에 앉히니 이꼴이지
551	1	요즘 네이버 댓글 막혀서 아주 살맛 나겠어요
552	1	운빨 사망~
553	1	만족합니다~
554	1	SK 9연패를 끊어주겠네요..공수 모두 대단합니다.
555	1	서건창  완전 노쇠화네
556	1	초구 좀 치지마라
557	1	손혁은 20연패쯤 해야 경질 할거냐?
558	1	오늘 경기 반드시 승리해야 함
559	1	이러다 6위가면 손혁 경질할거지?
560	1	1번타자 서건창쓰지마라 
561	1	서건창이는 야구를 하러왔는지 소풍을 왔는지 전혀진지함이 없네
562	1	이런게 프로팀이라니
563	1	러셀은 왜 데려온거죠?
564	1	동네 호구팀으로 전락했구나..
565	1	KBO 실책 1위팀 히어로즈, Why ?
566	1	이런데 비난이 안나오냐? 구단아 
567	1	이제 만족하셨습니까?
568	1	실책대왕팀
569	1	에헤라디여. 이게 모여. 사회인야구하나
570	1	하아.. 진짜 경기보기 너무 힘듭니다.. ㅜ.ㅜ
571	1	변상권 부상인가요?
572	1	손혁 이 쓰레기넘 정말 학습효과 없네...
573	1	박동원 볼배합 보니, 오늘 졌네요
574	1	박동원 리드
575	1	이정후 심각하네
576	1	퓨처스 주성원 선수 근황 궁금해요
577	1	1회 삼자범퇴는 법칙이네요
578	1	연봉삭감제발좀
579	1	금일 sk전 박동원 선발 8번 포수마스크
580	1	어떻게 잘하겠다는건지는 모르겠지만...
581	1	오늘 잘 해서 꼭 이깁시다
582	1	이정후 화이팅..!
583	1	지금 현재 상태에서 우승을 위한 필요조건..
584	1	최하위팀 상대로 2승 가능할까요???
585	1	여기 팬들 말대로 박동원도 윤영삼처럼 방출합시다
586	1	정규리그 끝이 가까울수록 우리 팬들이 많이 다그시치네요. ㅋㅋㅋ 걱정하지 말아요. 그대^^
587	1	라인업
588	1	"""리그최다 실책 78개"" 구단이나 감독은 각성해라"
589	1	"""리그최다 실책 78개""키움,이런경기로는 우승 못합니다"
590	1	부상자들이 회복이 잘되야 될텐데
591	1	오늘도 박동원이 출전한다면...
592	1	오늘.. 경기 매치업이.. 흥미롭네요~
593	1	상위권팀만큼
594	1	kt의 기세가 무섭네요
595	1	이정후 선수앞에 무사주자란??
596	1	시즌 후반부 중요한 시기인데 불안불안 합니다
